fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_HOME OVER.1.5,TEAM_TOTAL_HOME OVER.1.5,48.1%,0.481500,,,,Sin cuota/EV,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners +6.5,CORNERS_HOME OVER.6.5,44.7%,0.447100,1.65,-0.26,-0.262300,EV negativo,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total +9.5,CORNERS_TOTALS OVER.9.5,43.5%,0.434500,1.91,-0.17,-0.170100,EV negativo,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total -8.5,CORNERS_TOTALS UNDER.8.5,43.4%,0.433900,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Tarjetas total +2.5,CARDS_TOTALS OVER.2.5,41.3%,0.413000,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners -5.5,CORNERS_HOME UNDER.5.5,39.4%,0.393700,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_AWAY UNDER.0.5,TEAM_TOTAL_AWAY UNDER.0.5,36.8%,0.367900,,,,Sin cuota/EV,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_ON_TARGET_TOTAL OVER.8.5,SHOTS_ON_TARGET_TOTAL OVER.8.5,36.1%,0.361100,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.6.5,SHOTS_ON_TARGET_TOTAL UNDER.6.5,35.6%,0.355700,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_TOTAL OVER.26.5,SHOTS_TOTAL OVER.26.5,34.5%,0.345300,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL UNDER.22.5,34.1%,0.341400,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,1T +1.5,FIRST_HALF_TOTALS OVER.1.5,32.5%,0.325400,3.55,0.16,0.155200,EV positivo,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-07-01,11:00,England vs Congo DR,10Bet,Visita corners +3.5,CORNERS_AWAY OVER.3.5,31.5%,0.315400,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total +10.5,CORNERS_TOTALS OVER.10.5,31.4%,0.313900,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,1T -0.5,FIRST_HALF_TOTALS UNDER.0.5,31.1%,0.311300,1.18,-0.63,-0.632700,EV negativo,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-07-01,11:00,England vs Congo DR,10Bet,DNB visita,DRAW_NO_BET AWAY,31.1%,0.310600,6.00,0.86,0.863600,EV positivo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total -7.5,CORNERS_TOTALS UNDER.7.5,30.5%,0.304800,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Goles +3.5,TOTALS OVER.3.5,26.8%,0.268300,3.40,-0.09,-0.087800,EV negativo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_AWAY OVER.1.5,TEAM_TOTAL_AWAY OVER.1.5,26.4%,0.264200,,,,Sin cuota/EV,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Goles -1.5,TOTALS UNDER.1.5,26.4%,0.263600,1.70,-0.55,-0.551900,EV negativo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,1X2 DRAW,1X2 DRAW,24.8%,0.248000,1.75,-0.57,-0.565900,EV negativo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_ON_TARGET_TOTAL OVER.9.5,SHOTS_ON_TARGET_TOTAL OVER.9.5,24.3%,0.243000,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners -4.5,CORNERS_HOME UNDER.4.5,24.3%,0.242900,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Visita tarjetas +2.5,CARDS_AWAY OVER.2.5,23.4%,0.234100,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Gana visita,1X2 AWAY,23.4%,0.233600,13.00,2.04,2.036200,EV positivo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
