fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Tarjetas total +3.5,CARDS_TOTALS OVER.3.5,56.6%,0.566500,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Visita tarjetas -1.5,Visita tarjetas -1.5,55.8%,0.557800,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME OVER.0.5,55.5%,0.554800,,,,Sin cuota/EV,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Corners total -9.5,CORNERS_TOTALS UNDER.9.5,55.5%,0.554500,1.77,-0.02,-0.018500,EV negativo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Local tarjetas -2.5,Local tarjetas -2.5,54.4%,0.543800,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Local corners -3.5,CORNERS_HOME UNDER.3.5,53.7%,0.536600,1.53,-0.18,-0.179000,EV negativo,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Visita corners +5.5,CORNERS_AWAY OVER.5.5,51.3%,0.513400,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,BTTS no,BTTS NO,50.4%,0.503700,1.13,-0.43,-0.430800,EV negativo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,BTTS s?,BTTS YES,49.6%,0.496300,5.00,1.48,1.481600,EV positivo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,48.7%,0.486600,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
